"MOD_NAME","ITM_NAME","PAG_NAME","DSCR","ITM_TYPE","FLD_LEN","DECML","ITM_REQUIRED","ITM_UNIQUE"
"AVIMAG","INVEVLAFCM","AVIMAG","Study physician not able to evaluate after injection comment","CHAR","","","False","False"
"AVIMAG","INVEVLBF","AVIMAG","Study physician able to evaluate before injection","NUMBER","1","","False","False"
"AVIMAG","INVEVLBFCM","AVIMAG","Study physician not able to evaluate before injection comment","CHAR","","","False","False"
"AVIMAG","LAST_UPDATE","AVIMAG","Date of most recent update to record","DATE","","","True","False"
"AVIMAG","ORIG_ENTRY","AVIMAG","Date of original data entry","DATE","","","True","False"
"AVIMAG","PAG_NAME","AVIMAG","Page Name","CHAR","12","","True","False"
"AVIMAG","PATNO","AVIMAG","Participant ID","NUMBER","18","0","True","False"
"AVIMAG","PETCMPLT","AVIMAG","AV-133 PET scan completed?","NUMBER","1","","False","False"
"AVIMAG","PETCMPLTCM","AVIMAG","AV-133 PET scan not completed comment","CHAR","","","False","False"
"AVIMAG","QUERY","AVIMAG","Any open/pending queries on this record","NUMBER","1","","False","False"
"AVIMAG","REC_ID","AVIMAG","Record ID","CHAR","36","","True","True"
"AVIMAG","SYSSUPAF","AVIMAG","Supine BP - systolic - after injection (mmHg)","NUMBER","12","0","False","False"
"AVIMAG","SYSSUPBF","AVIMAG","Supine BP - systolic - before injection (mmHg)","NUMBER","12","0","False","False"
"AVIMAG","VITLTMAF","AVIMAG","Vital Sign Time - after injection","TIME","","","False","False"
"AVIMAG","VITLTMBF","AVIMAG","Vital Sign Time - before injection","TIME","","","False","False"
"AVIMAG","VMATRSLT","","VMAT-2 PET Interpretation Report","CHAR","1","","",""
"AVPREGNANC","","AVPREGNANC","Early Imaging Pregnancy Test","","","","",""
"AVPREGNANC","CNO","AVPREGNANC","Site Number","NUMBER","12","0","True","False"
"AVPREGNANC","EVENT_ID","AVPREGNANC","Visit ID","CHAR","3","","True","False"
"AVPREGNANC","INFODT","AVPREGNANC","Assessment Date","DATE","","","True","False"
"AVPREGNANC","LAST_UPDATE","AVPREGNANC","Date of most recent update to record","DATE","","","True","False"
"AVPREGNANC","ORIG_ENTRY","AVPREGNANC","Date of original data entry","DATE","","","True","False"
"AVPREGNANC","PAG_NAME","AVPREGNANC","Page Name","CHAR","12","","True","False"
"AVPREGNANC","PATNO","AVPREGNANC","Participant ID","NUMBER","18","0","True","False"
"AVPREGNANC","PREGAPPL","AVPREGNANC","Participant is a female of childbearing potential","NUMBER","1","","False","False"
"AVPREGNANC","QUERY","AVPREGNANC","Any open/pending queries on this record","NUMBER","1","","False","False"
"AVPREGNANC","REC_ID","AVPREGNANC","Record ID","CHAR","36","","True","True"
"AVPREGNANC","SPRGCNNEGBF","AVPREGNANCBL","Serum pregnancy result confirmed negative prior to Baseline 18F-AV-133 injection","NUMBER","12","0","False","False"
"AVPREGNANC","UPREGPRF","AVPREGNANC","Urine pregnancy test performed","NUMBER","1","","False","False"
"AVPREGNANC","UPREGPRFCM","AVPREGNANC","Urine pregnancy test not completed comment","CHAR","","","False","False"
"AVPREGNANC","UPRGCNBF","AVPREGNANC","Urine pregnancy result confirmed prior to 18F-AV-133 injection","NUMBER","12","0","False","False"
"AVPREGNANC","UPRGCNBFCM","AVPREGNANC","No urine pregnancy result confirmed prior to 18F-AV-133 injection comment","CHAR","","","False","False"
"AVPREGNANC","UPRGRSLT","AVPREGNANC","Urine pregnancy test result","NUMBER","1","","False","False"
"AVREPPREG","","AVREPPREG","Early Imaging Report of Pregnancy","","","","",""
"AVREPPREG","CNO","AVREPPREG","Site Number","NUMBER","12","0","True","False"
"AVREPPREG","EVENT_ID","AVREPPREG","Visit ID","CHAR","3","","True","False"
"AVREPPREG","INFODT","AVREPPREG","Assessment Date","DATE","","","True","False"
"AVREPPREG","LAST_UPDATE","AVREPPREG","Date of most recent update to record","DATE","","","True","False"
"AVREPPREG","ORIG_ENTRY","AVREPPREG","Date of original data entry","DATE","","","True","False"
"AVREPPREG","PAG_NAME","AVREPPREG","Page Name","CHAR","12","","True","False"
"AVREPPREG","PATNO","AVREPPREG","Participant ID","NUMBER","18","0","True","False"
"AVREPPREG","PREG30AV","AVREPPREG","Pregnancy within 30 days of AV-133 injection?","NUMBER","12","0","False","False"
"AVREPPREG","PREGWHO","AVREPPREG","Participant or participant partner is pregnant?","NUMBER","12","0","False","False"
"AVREPPREG","QUERY","AVREPPREG","Any open/pending queries on this record","NUMBER","1","","False","False"
"AVREPPREG","REC_ID","AVREPPREG","Record ID","CHAR","36","","True","True"
"AVSCRNFAIL","","AVSCRNFAIL","Early Imaging Screen Fail","","","","",""
"AVSCRNFAIL","CNO","AVSCRNFAIL","Site Number","NUMBER","12","0","True","False"
"AVSCRNFAIL","EVENT_ID","AVSCRNFAIL","Visit ID","CHAR","3","","True","False"
"AVSCRNFAIL","INFODT","AVSCRNFAIL","Assessment Date","DATE","","","True","False"
"AVSCRNFAIL","LAST_UPDATE","AVSCRNFAIL","Date of most recent update to record","DATE","","","True","False"
"AVSCRNFAIL","ORIG_ENTRY","AVSCRNFAIL","Date of original data entry","DATE","","","True","False"
"AVSCRNFAIL","PAG_NAME","AVSCRNFAIL","Page Name","CHAR","12","","True","False"
"AVSCRNFAIL","PATNO","AVSCRNFAIL","Participant ID","NUMBER","18","0","True","False"
"AVSCRNFAIL","QUERY","AVSCRNFAIL","Any open/pending queries on this record","NUMBER","1","","False","False"
"AVSCRNFAIL","REC_ID","AVSCRNFAIL","Record ID","CHAR","36","","True","True"
"AVSCRNFAIL","RSNDEC","AVSCRNFAIL","Reason for Declining","NUMBER","12","0","False","False"
"AVSCRNFAIL","SCFAILRSN","AVSCRNFAIL","Reason for screen fail","NUMBER","12","0","False","False"
"AVTEL","","AVTEL","Early Imaging Adverse Event Telephone Assessment","","","","",""
"AVTEL","AVCONDCTVIS","AVTEL","Was an LP, skin biopsy, or DaTscan or AV-133 imaging scan conducted at this visit?","NUMBER","1","","False","False"
"AVTEL","CNO","AVTEL","Site Number","NUMBER","12","0","True","False"
"AVTEL","CNTACTYN","AVTEL","Was contact made","NUMBER","1","","False","False"
"AVTEL","CNTRSN","AVTEL","Reason for no contact","NUMBER","12","0","False","False"
"AVTEL","CNTRSNCM","AVTEL","Reason for no contact comment","CHAR","","","False","False"
"AVTEL","EVENT_ID","AVTEL","Visit ID","CHAR","3","","True","False"
"AVTEL","INFODT","AVTEL","Assessment Date","DATE","","","True","False"
"AVTEL","LAST_UPDATE","AVTEL","Date of most recent update to record","DATE","","","True","False"
"AVTEL","ORIG_ENTRY","AVTEL","Date of original data entry","DATE","","","True","False"
"AVTEL","PAG_NAME","AVTEL","Page Name","CHAR","12","","True","False"
"AVTEL","PATNO","AVTEL","Participant ID","NUMBER","18","0","True","False"
"AVTEL","QUERY","AVTEL","Any open/pending queries on this record","NUMBER","1","","False","False"
"AVTEL","REC_ID","AVTEL","Record ID","CHAR","36","","True","True"
"AVTEL","TELAERPT","AVTEL","AE reported","NUMBER","1","","False","False"
"Biospecimen_Analysis","CLINICAL_EVENT","","Clinical Event","CHAR","20","","",""
"Biospecimen_Analysis","DIAGNOSIS","","Appropriate Diagnosis","CHAR","1","","",""
"Biospecimen_Analysis","GENDER","","Gender","CHAR","8","","",""
"Biospecimen_Analysis","PATNO","","Patient Number","CHAR","8","","",""
"Biospecimen_Analysis","PI_INSTITUTION","","Name of PI Instituion","CHAR","64","","",""
"Biospecimen_Analysis","PI_NAME","","Name of Project PI","CHAR","64","","",""
"Biospecimen_Analysis","PROJECTID","","Project ID for Analysis","NUMBER","8","0","",""
"Biospecimen_Analysis","RUNDATE","","Run Date of Test","DATE","","","",""
"Biospecimen_Analysis","TESTNAME","","Test Type","CHAR","36","","",""
"Biospecimen_Analysis","TESTVALUE","","Test Value","CHAR","36","","",""
"Biospecimen_Analysis","TYPE","","Sample Type","CHAR","36","","",""
"Biospecimen_Analysis","UNITS","","Units of Measure","CHAR","8","","",""
"BIOSPECIMEN_BRAIN_CATALOG","ALIAS_ID","","PATIENT NUMBER","NUMBER","6","0","",""
"BIOSPECIMEN_BRAIN_CATALOG","BRAIN_REGION","","BRAIN REGION","CHAR","2","","",""
"BIOSPECIMEN_BRAIN_CATALOG","CLINICAL_EVENT","","CLINICAL EVENT (AUT)","CHAR","5","","",""
"BIOSPECIMEN_BRAIN_CATALOG","CUSTODIAL_DOMAIN","","CUSTODIAL DOMAIN ","CHAR","50","","",""
"BIOSPECIMEN_BRAIN_CATALOG","EXTRACTION_PROTOCOL","","EXTRACTION PROTOCOL","CHAR","1","","",""
"BIOSPECIMEN_BRAIN_CATALOG","HEMISPHERE","","BRAIN HEMISPHERE","CHAR","1","","",""
"BIOSPECIMEN_BRAIN_CATALOG","PREPARATION","","PREPARATION METHOD","CHAR","1","","",""
"BIOSPECIMEN_BRAIN_CATALOG","QUANTITY","","QUANTITY ","NUMBER","6","0","",""
"BIOSPECIMEN_BRAIN_CATALOG","QUANTITY_UNITS","","QUANTITY UNITS","NUMBER","2","0","",""
"BIOSPECIMEN_BRAIN_CATALOG","SPECIMEN_NO","","SPECIMEN NUMBER","NUMBER","50","0","",""
"BIOSPECIMEN_BRAIN_CATALOG","TYPE","","SPECIMEN TYPE","CHAR","20","","",""
"BIOSPECIMEN_CELL_CATALOG","ADDTL_STOCK_AVAIL_ON_REQ","","Addition Stock Available upon Request","CHAR","10","","",""
"BIOSPECIMEN_CELL_CATALOG","ALIAS_ID","","Patient Number","CHAR","100","","",""
"BIOSPECIMEN_CELL_CATALOG","CELLS_PER_CONTAINER","","Cells per Container","NUMBER","10","0","",""
"BIOSPECIMEN_CELL_CATALOG","CELL_TYPE","","Cell Type","CHAR","100","","",""
"BIOSPECIMEN_CELL_CATALOG","CLINICAL_EVENT","","Event Name","CHAR","100","","",""
"BIOSPECIMEN_CELL_CATALOG","CUSTODIAL_DOMAIN","","Custodial Domain","CHAR","20","","",""
"BIOSPECIMEN_CELL_CATALOG","FREEZING_MEDIA","","Freezing Media","CHAR","100","","",""
"BIOSPECIMEN_CELL_CATALOG","IDENTITY_TEST","","Identity Test Result","CHAR","100","","",""
"BIOSPECIMEN_CELL_CATALOG","KARYOTYPE","","Karotype Result","CHAR","100","","",""
"BIOSPECIMEN_CELL_CATALOG","KARYOTYPE_PROCEDURE","","Karotype Procedure","CHAR","100","","",""
"BIOSPECIMEN_CELL_CATALOG","MYCOPLASMA","","Mycoplasma Result","CHAR","100","","",""
"BIOSPECIMEN_CELL_CATALOG","NUM_AVAILABLE","","Num Aliquots Available","NUMBER","4","0","",""
"BIOSPECIMEN_CELL_CATALOG","PARENT_CELL_TYPE","","Parent Cell Type","CHAR","100","","",""
"BIOSPECIMEN_CELL_CATALOG","PARENT_SPECIMEN_ID","","Parent Specimen ID","CHAR","100","","",""
"BIOSPECIMEN_CELL_CATALOG","PASSAGE_NUMBER_AT_FREEZE","","Passage Number at Freeze","NUMBER","3","0","",""
"BIOSPECIMEN_CELL_CATALOG","PLURIPOTENCY","","Pluripotency Result","CHAR","100","","",""
"BIOSPECIMEN_CELL_CATALOG","QUANTITY","","Quantity","NUMBER","12","4","",""
"BIOSPECIMEN_CELL_CATALOG","QUANTITY_UNITS","","Quantity Units","CHAR","100","","",""
"BIOSPECIMEN_CELL_CATALOG","REPROGRAMMING_METHOD","","Reprogramming Method","CHAR","100","","",""
"BIOSPECIMEN_CELL_CATALOG","SPECIMEN_NO","","Specimen Number","NUMBER","6","0","",""
"BIOSPECIMEN_CELL_CATALOG","STERILITY_TEST","","Sterility Test Result","CHAR","100","","",""
"BIOSPECIMEN_CELL_CATALOG","TYPE","","Type","CHAR","100","","",""
"BIOSPECIMEN_CELL_CATALOG","VENDOR","","Cell Line Creator","CHAR","100","","",""
"BIOSPECIMEN_SLIDE_CATALOG","AUTOPSY SITE","","SITE NAME","CHAR","1","","",""
"BIOSPECIMEN_SLIDE_CATALOG","BRAIN_REGION","","BRAIN REGION","CHAR","2","","",""
"BIOSPECIMEN_SLIDE_CATALOG","FILE TYPE","","WHOLE SLIDE IMAGE FILE TYPE","CHAR","1","","",""
"BIOSPECIMEN_SLIDE_CATALOG","FILENAME","","IMAGE FILE NAME","CHAR","1","","",""
"BIOSPECIMEN_SLIDE_CATALOG","HEMISPHERE","","HEMISPHERE","CHAR","1","","",""
"BIOSPECIMEN_SLIDE_CATALOG","PATNO","","PATIENT  NUMBER","NUMBER","6","0","",""
"BIOSPECIMEN_SLIDE_CATALOG","RESOLUTION","","WHOLE SLIDE IMAGE RESOLUTION ","CHAR","1","","",""
"BIOSPECIMEN_SLIDE_CATALOG","SCANNER","","WHOLE SLIDE IMAGE SCANNER NAME","CHAR","1","","",""
"BIOSPECIMEN_SLIDE_CATALOG","STAIN","","STAIN","CHAR","1","","",""
"CLCKDRAW","","CLCKDRAW","Clock Drawing","","","","",""
"CLCKDRAW","CLCK2HND","CLCKDRAW","Time - exactly 2 hands","NUMBER","12","0","False","False"
"CLCKDRAW","CLCKALNU","CLCKDRAW","Number - all 1-12 present","NUMBER","12","0","False","False"
"CLCKDRAW","CLCKNMRK","CLCKDRAW","Time - absence of marks","NUMBER","12","0","False","False"
"CLCKDRAW","CLCKNUED","CLCKDRAW","Spacing - numbers equally spaced from edge","NUMBER","12","0","False","False"
"CLCKDRAW","CLCKNUIN","CLCKDRAW","Number - numbers inside","NUMBER","12","0","False","False"
"CLCKDRAW","CLCKNUSP","CLCKDRAW","Spacing - numbers equally spaced from each other","NUMBER","12","0","False","False"
"CLCKDRAW","CLCKPII","CLCKDRAW","Time - one hand points to 2","NUMBER","12","0","False","False"
"CLCKDRAW","CLCKTOT","CLCKDRAW","Clock Drawing Total Score","NUMBER","12","0","False","False"
"CLCKDRAW","CNO","CLCKDRAW","Site Number","NUMBER","12","0","True","False"
"CLCKDRAW","EVENT_ID","CLCKDRAW","Visit ID","CHAR","3","","True","False"
"CLCKDRAW","INFODT","CLCKDRAW","Assessment Date","DATE","","","True","False"
"CLCKDRAW","LAST_UPDATE","CLCKDRAW","Date of most recent update to record","DATE","","","True","False"
"CLCKDRAW","ORIG_ENTRY","CLCKDRAW","Date of original data entry","DATE","","","True","False"
"CLCKDRAW","PAG_NAME","CLCKDRAW","Page Name","CHAR","12","","True","False"
"CLCKDRAW","PATNO","CLCKDRAW","Participant ID","NUMBER","18","0","True","False"
"CLCKDRAW","QUERY","CLCKDRAW","Any open/pending queries on this record","NUMBER","1","","False","False"
"CLCKDRAW","REC_ID","CLCKDRAW","Record ID","CHAR","36","","True","True"
"CLINLAB","","CLINLAB","Clinical Labs","","","","",""
"CLINLAB","BLDLAB","CLINLAB","Blood for clinical labs","NUMBER","1","","False","False"
"CLINLAB","BLDLABCM","CLINLAB","Blood for clinical labs not collected comment","CHAR","","","False","False"
"CLINLAB","BLDSHPDT","","Date shipped to central lab","DATE","","","",""
"CLINLAB","CNO","CLINLAB","Site Number","NUMBER","12","0","True","False"
"CLINLAB","EVENT_ID","CLINLAB","Visit ID","CHAR","3","","True","False"
"CLINLAB","INFODT","CLINLAB","Assessment Date","DATE","","","True","False"
"CLINLAB","LAST_UPDATE","CLINLAB","Date of most recent update to record","DATE","","","True","False"
"CLINLAB","ORIG_ENTRY","CLINLAB","Date of original data entry","DATE","","","True","False"
"CLINLAB","PAG_NAME","CLINLAB","Page Name","CHAR","12","","True","False"
"CLINLAB","PATNO","CLINLAB","Participant ID","NUMBER","18","0","True","False"
"CLINLAB","QUERY","CLINLAB","Any open/pending queries on this record","NUMBER","1","","False","False"
"CLINLAB","REC_ID","CLINLAB","Record ID","CHAR","36","","True","True"
"CNOPAT","","","Center - Participant","","","","",""
"CNOPAT","CNO","","Site Number","NUMBER","12","0","True","False"
"CNOPAT","PATNO","","Participant ID","NUMBER","18","0","True","True"
"COGCATG","","COGCATG","Cognitive Categorization","","","","",""
"COGCATG","CNO","COGCATG","Site Number","NUMBER","12","0","True","False"
"COGCATG","COGCAT","","Cognitive T Score","NUMBER","8","0","",""
"COGCATG","COGCAT_TEXT","","Cognitive T Score Description","CHAR","20","","",""
"COGCATG","COGDECLN","COGCATG","Experienced cognitive decline","NUMBER","1","","False","False"
"COGCATG","COGDXCL","COGCATG","Level of confidence cognitive diagnosis","NUMBER","12","0","False","False"
"COGCATG","COGSTATE","COGCATG","Cognitive State","NUMBER","12","0","False","False"
"COGCATG","EVENT_ID","COGCATG","Visit ID","CHAR","3","","True","False"
"COGCATG","FNCDTCOG","COGCATG","Functional impairment due to cognitive","NUMBER","1","","False","False"
"COGCATG","INFODT","COGCATG","Assessment Date","DATE","","","True","False"
"COGCATG","LAST_UPDATE","COGCATG","Date of most recent update to record","DATE","","","True","False"
"COGCATG","ORIG_ENTRY","COGCATG","Date of original data entry","DATE","","","True","False"
"COGCATG","PAG_NAME","COGCATG","Page Name","CHAR","12","","True","False"
"COGCATG","PATNO","COGCATG","Participant ID","NUMBER","18","0","True","False"
"COGCATG","PTCGBOTH","COGCATG","Source of Information","NUMBER","12","0","False","False"
"COGCATG","QUERY","COGCATG","Any open/pending queries on this record","NUMBER","1","","False","False"
"COGCATG","REC_ID","COGCATG","Record ID","CHAR","36","","True","True"
"COGCATG","RVWNPSY","COGCATG","Review neuropsychological tests","NUMBER","1","","False","False"
"COGCHNG","","COGCHNG","Cognitive Change","","","","",""
"COGCHNG","CNO","COGCHNG","Site Number","NUMBER","12","0","True","False"
"COGCHNG","COGCHG","COGCHNG","Cognitive Change","NUMBER","1","","False","False"
"COGCHNG","EVENT_ID","COGCHNG","Visit ID","CHAR","3","","True","False"
"COGCHNG","INFODT","COGCHNG","Assessment Date","DATE","","","True","False"
"COGCHNG","LAST_UPDATE","COGCHNG","Date of most recent update to record","DATE","","","True","False"
"COGCHNG","ORIG_ENTRY","COGCHNG","Date of original data entry","DATE","","","True","False"
"COGCHNG","PAG_NAME","COGCHNG","Page Name","CHAR","12","","True","False"
"COGCHNG","PATNO","COGCHNG","Participant ID","NUMBER","18","0","True","False"
"COGCHNG","QUERY","COGCHNG","Any open/pending queries on this record","NUMBER","1","","False","False"
"COGCHNG","REC_ID","COGCHNG","Record ID","CHAR","36","","True","True"
"CONCL","","CONCL","Conclusion of Study Participation","","","","",""
"CONCL","CNO","CONCL","Site Number","NUMBER","12","0","True","False"
"CONCL","COMPLT","CONCL","Did the subject complete the study?","NUMBER","1","","False","False"
"CONCL","EVENT_ID","CONCL","Visit ID","CHAR","3","","True","False"
"CONCL","INFODT","CONCL","Assessment Date","DATE","","","True","False"
"CONCL","LAST_UPDATE","CONCL","Date of most recent update to record","DATE","","","True","False"
"CONCL","ORIG_ENTRY","CONCL","Date of original data entry","DATE","","","True","False"
"CONCL","PAG_NAME","CONCL","Page Name","CHAR","12","","True","False"
"CONCL","PATNO","CONCL","Participant ID","NUMBER","18","0","True","False"
"CONCL","QUERY","CONCL","Any open/pending queries on this record","NUMBER","1","","False","False"
